,level_0,index,tweetid,user,content,date,lang,sentiment
0,0,0,772432598027145216,71546415,"Sin ser fan de Juan Gabriel, siempre supe que era una fuerza de la naturaleza. Hoy escuché ""Querida"", y me dio una ternura enorme.",Sun Sep 04 13:54:17 +0000 2016,es,P
1,1,1,771715645843079169,106919551,ayer preguntaban y dónde están las solteras!!!! todo mi grupo alza la mano y yo la única que no y todas voltean a verme AJAJAJAJAJJA,Fri Sep 02 14:25:22 +0000 2016,es,NEU
2,2,2,771744506861461504,599653674,"Que el finde sea para hacer cualquier cosa que a uno lo haga FELIZ, lo que sea pero que sea lo que a uno le de la reverenda gana",Fri Sep 02 16:20:03 +0000 2016,es,NEU
3,3,3,771521266599604224,599653674,"Elige amar, así duela, así parezca un imposible, así te tiemble el alma, así tengas miedo, así vayas a salir herida. El amor transforma",Fri Sep 02 01:32:58 +0000 2016,es,NEU
4,4,4,774703192105971712,280686132,"Hoy me sentí como grace de ""al fondo hay sitio"" cuando la atropellaron, solo que no fue de mentira y casi no la cuento que horrible",Sat Sep 10 20:16:48 +0000 2016,es,N
5,5,6,774612388435795968,714677089589452804,hoy me toco visitar a mamá en su descanso eterno le contare todo lo que vivo ella fue es y siempre sera mi MEJOR AMIGA sin igual,Sat Sep 10 14:15:59 +0000 2016,es,P
6,6,7,774804336236978177,453529360,"Las remuneraciones económicas son lo que todos esperan, pero un ""me encanta lo que has hecho"", lo vale todo. El cliente es primero.",Sun Sep 11 02:58:43 +0000 2016,es,P
7,7,8,773691234871148544,2178283473,"@sadalienpotato ¿Opto por el rapado? En serio, estoy muy confusa. (Y admito que me lo corto por aburrimiento, como el 99% de la gente)",Thu Sep 08 01:15:39 +0000 2016,es,NEU
8,8,9,775087224857567232,714677089589452804,Lo que mas amo de mi escritorio es que hay una foto de el y mía juntos aparte de mi cuarto mis cuadro también están de el,Sun Sep 11 21:42:49 +0000 2016,es,P
9,9,14,768663354537828352,423910199,"No sé si los maltrataban de verdad pero me dio penita ver eso No me gusto eso, no son objetos para que los traten así. Me indigna tanto",Thu Aug 25 04:16:39 +0000 2016,es,N
10,10,16,757287355556302848,130182806,"Dicen q lo bueno dura poco Aveces pienso q es así y me pone triste,pero recuerdo q mas triste es fijarse en alguien q no se lo merece",Sun Jul 24 18:52:29 +0000 2016,es,N
11,11,17,775898703391494145,83224688,@squall_drifter @PokemonGOespana me sucede lo mismo,Wed Sep 14 03:27:21 +0000 2016,es,NEU
12,12,18,775944402522943488,912534385,Sin sueño pero tranquilo pues ya tomé la pastilla. Esta medicina me lo indicó la Dta para cada 8 horas. La siguuente será a las 8:30 am,Wed Sep 14 06:28:56 +0000 2016,es,NEU
13,13,22,760495329053663233,200333457,Mi Jefazo hermoso @AlejandroSanz #DejaQueTeBese en @Fansdelaradio @CarlosJRubiofm @madshila @PaolaMattos11 #FanaticaSiempre @soleyvelez,Tue Aug 02 15:19:50 +0000 2016,es,P
14,14,25,763040586395975680,1107894306,"Ósea les juro por mi vida que estoy en el lugar más caro del mundo en el aereopuerto. 7.50 un café, 18.00 un Sandwich y 12.00 un batido",Tue Aug 09 15:53:47 +0000 2016,es,N
15,15,26,764949329861836800,71037183,"La gente coreando en Río ""ole ole ole ole, delpo! Delpo!"" Eres local @delpotrojuan, saca ventaja de eso y da lo mejor. Pero ojalá pierdas",Sun Aug 14 22:18:26 +0000 2016,es,NEU
16,16,27,763176369127825408,555472635,#postrecito para endulzarme un poquito,Wed Aug 10 00:53:20 +0000 2016,es,P
17,17,28,763190413507395584,599653674,"La vida te va a poner donde debas estar, porque en últimas todo aquello que fue, ya es. Y lo que ha de ser, fue ya",Wed Aug 10 01:49:08 +0000 2016,es,NEU
18,18,30,765214517403975680,629453607,"Que haya una planta de tamarindo afuera de la que posiblemente va a ser la casa en la que vivas de vez en cuando, es una buena señal",Mon Aug 15 15:52:12 +0000 2016,es,P
19,19,32,764608480284143617,1002719012,Todo estaba bien hasta que me desilusionaron .....................me siento herida .......................que dolor ...... .....,Sat Aug 13 23:44:02 +0000 2016,es,N
20,20,33,765403081878204416,2836599447,"Sean las cuentas de Mc reales o no, no lo veo bien si quieren una cuenta consigan el dinero y cómprenla con su esfuerzo, no por rts",Tue Aug 16 04:21:29 +0000 2016,es,N
21,21,34,758355129896755200,36907575,@isachi8 gracias!!!!!! Washis estoy feliz y aprovechando todo lo q puedo gracias por los deseos y buena vibra. Un abrazote a la distancia,Wed Jul 27 17:35:27 +0000 2016,es,P
